 Date,NKE Price Target,NKE Price Target - High,NKE Price Target - Low,NKE Price Target - StdDev,NKE Price Target - Median,NKE Open,NKE Low,NKE High,NKE Close,NKE Adj. Close,NKE Rating,NKE Price Target - #,Ticker
07-30-2013,33.09091,40.0,26.5,3.09558,33.75,28.2396063000625,28.2350987811,28.442444653375,31.425,28.3297566793125,3.71429,22,NKE
07-31-2013,33.09091,40.0,26.5,3.09558,33.75,28.4514596913,28.2936965276125,28.622745411875,31.46,28.36130931205,3.74074,22,NKE
08-01-2013,33.09091,40.0,26.5,3.09558,33.75,28.50554991885,28.50554991885,29.7992078610875,32.985,29.7361025956125,3.74074,22,NKE
08-02-2013,33.09091,40.0,26.5,3.09558,33.75,29.745117633537497,29.4836815337125,30.0245838092125,33.15,29.884850721375,3.74074,22,NKE
08-05-2013,33.09091,40.0,26.5,3.09558,33.75,29.83977553175,29.8217454559,29.993031176475004,33.2,29.929925911,3.74074,22,NKE
08-06-2013,33.09091,40.0,26.5,3.09558,33.75,29.8893582403375,29.697743609241627,30.1327642643125,33.27,29.993031176475004,3.74074,22,NKE
08-07-2013,33.09091,40.0,26.5,3.09558,33.75,29.812730417975,29.5738319129625,29.8578056076,32.815,29.582846950887497,3.74074,22,NKE
08-08-2013,33.09091,40.0,26.5,3.09558,33.75,29.776670266275,29.650459735325,29.952463505812503,33.025,29.7721627473125,3.78571,22,NKE
08-09-2013,33.09091,40.0,26.5,3.09558,33.75,29.713565000800003,29.677504849100004,30.083181555725,33.155,29.8893582403375,3.78571,22,NKE
08-12-2013,33.09091,40.0,26.5,3.09558,33.75,29.790192823162503,29.7721627473125,30.02007629025,33.255,29.979508619587502,3.78571,22,NKE
08-13-2013,33.09091,40.0,26.5,3.09558,33.75,30.0245838092125,29.6098920646625,30.0876890746875,32.905,29.663982292212506,3.78571,22,NKE
08-14-2013,33.09091,40.0,26.5,3.09558,33.75,29.5377717612625,28.951794296137503,29.596369507775,32.175,29.0058845236875,3.78571,22,NKE
08-15-2013,33.09091,40.0,26.5,3.09558,33.75,28.748955942825003,28.46948976715,28.84812136,31.745,28.6182378929125,3.78571,22,NKE
08-16-2013,33.09091,40.0,26.5,3.09558,33.75,28.5957002981,28.550625108475003,28.987854447837503,31.825,28.6903581963125,3.78571,22,NKE
08-19-2013,33.09091,40.0,26.5,3.09558,33.75,28.712895791125003,28.622745411875,29.350709724318747,32.355,29.1681552063375,3.85714,22,NKE
08-20-2013,33.09091,40.0,26.5,3.09558,33.75,29.0960349029375,28.989161628336625,29.618907102587496,32.315,29.1320950546375,3.85714,22,NKE
